Ações por Índice;;;
Dados de 5 a 8 de 2026;;;
Empresa;Sigla;Código;
EVEN;ON   NM;EVEN3.SA;IBRA,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
EXXON MOBIL;DRN;EXXO34.SA;BDRX
EZTEC;ON   NM;EZTC3.SA;IBRA,IBXX,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
FER HERINGER;ON   NM;FHER3.SA;IGCX,IGNM,ITAG
FERBASA;ON   N1;FESA3.SA;IGCX
FERBASA;PN   N1;FESA4.SA;IBRA,IDIV,IDVR,IGCT,IGCX,IMAT,SMLL
FII AFHI CRI;CI;AFHI11.SA;IFIX
FII ALIANZA;CI;ALZR11.SA;IFIL,IFIX
FII ARCTIUM;CI;RZAT11.SA;IFIX
FII ATHENA I;CI;FATN11.SA;IFIL,IFIX
FII AZPL;CI;AZPL11.SA;IFIX
FII BBIG;CI;BBIG11.SA;IFIL,IFIX
FII BC FUND;CI;BRCR11.SA;IFIL,IFIX
FII BCIA;CI;BCIA11.SA;IFIX
FII BEES CRI;CI;BCRI11.SA;IFIX
FII BRESCO;CI;BRCO11.SA;IFIL,IFIX
FII BROF;CI;BROF11.SA;IFIX
FII BTG AGRO;CI;BTAL11.SA;IFIX
FII BTG CRI;CI;BTCI11.SA;IFIL,IFIX
FII BTG SHOP;CI;BPML11.SA;IFIX
FII BTHF;CI;BTHF11.SA;IFIL,IFIX
FII BTLG;CI;BTLG11.SA;IFIL,IFIX
FII CAPI SEC;CI;CPTS11.SA;IFIL,IFIX
FII CI IPCA;CI;ICRI11.SA;IFIX
FII CLAVE IN;CI;CLIN11.SA;IFIL,IFIX
FII CPSH;CI;CPSH11.SA;IFIL,IFIX
FII CYRELA;CI;CYCR11.SA;IFIX
FII DEVANT;CI;DEVA11.SA;IFIX
FII FATOR VE;CI;VRTA11.SA;IFIL,IFIX
FII G TOWERS;CI;GTWR11.SA;IFIX
FII GAZIT;CI;GZIT11.SA;IFIX
FII GGR ZAG;CI;GGRC11.SA;IFIL,IFIX
FII GUARDIAN;CI;GARE11.SA;IFIL,IFIX
FII HABIT II;CI;HABT11.SA;IFIX
FII HECTARE;CI;HCTR11.SA;IFIX
FII HEDGEBS;CI;HGBS11.SA;IFIL,IFIX
FII HGCR PAX;CI;HGCR11.SA;IFIL,IFIX
FII HGLG PAX;CI;HGLG11.SA;IFIL,IFIX
FII HGRE PAX;CI;HGRE11.SA;IFIL,IFIX
FII HGRU PAX;CI;HGRU11.SA;IFIL,IFIX
FII HOTEL MX;CI;HTMX11.SA;IFIX
FII HSI CRI;CI;HSAF11.SA;IFIX
FII HSI LOG;CI;HSLG11.SA;IFIX
FII HSI MALL;CI;HSML11.SA;IFIL,IFIX
FII HTOPFOF3;CI;HFOF11.SA;IFIL,IFIX
FII IRIM;CI;IRIM11.SA;IFIL,IFIX
FII ITRI;CI;ITRI11.SA;IFIX
FII JS A FIN;CI;JSAF11.SA;IFIL,IFIX
FII JS REAL;CI;JSRE11.SA;IFIL,IFIX
FII KILIMA;CI;KISU11.SA;IFIX
FII KINEA;CI;KNRI11.SA;IFIL,IFIX
FII KINEA CR;CI;KCRE11.SA;IFIX
